pʰu	pu
tu	du
tʰu	tu
ku	gu
kʰu	ku
xu	hu
mu	mu
u	wu
pu	bu
pi	bi
pʰi	pi
ti	di
tʰi	ti
tɕi	ji
ɕi	xi
tɕʰi	qi
mi	mi
ȵi	ni
li	li
i	yi
tɕy	jyu
ɕy	xyu
tɕʰy	qyu
ȵy	nyu
y	yu
pei	bei
pʰei	pei
tei	dei
tʰei	tei
tsei	zei
sei	sei
tsʰei	cei
tʂei	zhei
ʂei	shei
tʂʰei	chei
xei	hei
mei	mei
nei	nei
ŋei	ngei
lei	lei
ɻei	rei
pɛ	bae
pʰɛ	pae
tɛ	dae
tʰɛ	tae
tsɛ	zae
sɛ	sae
tsʰɛ	cae
kɛ	gae
kʰɛ	kae
xɛ	hae
mɛ	mae
nɛ	nae
ŋɛ	ngae
lɛ	lae
pa	ba
pʰa	pa
tʰa	ta
tsa	za
sa	sa
tsʰa	ca
ka	ga
kʰa	ka
xa	ha
ma	ma
na	na
ŋa	nga
la	la
ta	da
pɔ	bo
pʰɔ	po
tɔ	do
tʰɔ	to
tsɔ	zo
sɔ	so
tsʰɔ	co
tʂɔ	zho
ʂɔ	sho
ɻɔ	ro
tʂʰɔ	cho
kɔ	go
kʰɔ	ko
xɔ	ho
mɔ	mo
ŋɔ	ngo
lɔ	lo
nɔ	no
nzɔ	nzo
tɤu	dou
tʰɤu	tou
tsɤu	zou
sɤu	sou
tsʰɤu	cou
tʂɤu	zhou
ʂɤu	shou
ɻɤu	rou
tʂʰɤu	chou
kɤu	gou
kʰɤu	kou
xɤu	hou
nɤu	nou
ŋɤu	ngou
lɤu	lou
ɳɤu	nrou
tʂʅɘ	zhe
ʂʅɘ	she
tʂʰʅɘ	che
ɻʅɘ	re
tsɿ	zi
sɿ	si
tsʰɿ	ci
nzɿ	nzi
tʂʅ	zhi
ʂʅ	shi
tʂʰʅ	chi
tsʮ	zu
sʮ	su
zʮ	zsu
tsʰʮ	cu
nzʮ	nzu
tɕia	jia
ɕia	xia
tɕʰia	qia
ȵia	nia
lia	lia
pia	bia
ia	ya
piɔ	bio
pʰiɔ	pio
tiɔ	dio
tʰiɔ	tio
tɕiɔ	jio
ɕiɔ	xio
tɕʰiɔ	qio
miɔ	mio
ȵiɔ	nio
liɔ	lio
iɔ	yo
tiɤu	diou
tɕiɤu	jiou
ɕiɤu	xiou
tɕʰiɤu	qiou
