韻尾,介音,韻母,p,ph,t,th,ts,s,z,tsh,tʂ,ʂ,ʐ,tʂh,tɕ,ɕ,tɕh,k,kh,x,m,n,ȵ,ɳ,nz,ŋ,l,零
零,零,u,,213 鋪,213 都,213 圖,,,,,,,,,,,,213 估,213 枯,213 壺浮,213 毛,,,,,,,213 吳烏
零,零,u,24 布簿步抱,24 舖,24 杜,24 兔,,,,,,,,,,,,24 故,24 褲,24 戶付父富副婦縛,24 墓,,,,,,,24 霧
零,零,u,512 補,512 譜,512 賭,512 土,,,,,,,,,,,,512 箍古,512 苦,512 虎府,512 母,,,,,,,512 五武
零,零,i,213 屄,213 皮,213 低釘,213 梯聽停,,,,,,,,,213 雞騎饑,213 溪希,213 騎棋,,,,213 眉明名,,213 泥,,,,213 犁梨零,213 移姨衣蠅贏營
零,零,i,24 幣被病,24 屁,24 弟遞地,24 剃,,,,,,,,,24 戒寄記季鏡,24 系戲,24 契器氣,,,,24 命,,,,,,24 利,24 藝蟻義意
零,零,i,512 比餅,512 疲,512 底,512 体,,,,,,,,,512 幾,512 喜,512 起,,,,512 米,,512 泥,,,,512 李領,512 尾影
零,零,y,,,,,,,,,,,,,213 渠,213 兄,213 區,,,,,,213 魚,,,,,213 魚余
零,零,y,,,,,,,,,,,,,24 鋸句櫃劇,24 絮,24 去,,,,,,,,,,,24 遇芋裕玉浴
零,零,y,,,,,,,,,,,,,512 舉,512 徐許,512 取,,,,,,512 語,,,,,512 雨
零,零,ei,213 婆杯碑,213 坡,213 多,213 拖,213 精,213 西星,,213 清青,[213 知],[213 盛],,[213 車],,,,,,213 河,213 磨蘑,213 挪,,,,[213 蛾],213 鑼螺,
零,零,ei,24 簸,24 破,24 大,,24 淨,24 細,,24 砌,[24 智],[24 剩],,,,,,,,24 賀,24 磨,,,,,[24 餓],,
零,零,ei,,,,512 嚲,512 井,512 洗,,,,[512 捨],[512 惹],[512 撦],,,,,,512 荷,512 抹美,,,,,[512 我],512 裏,
零,零,æe,213 培賠白,213 排牌,213 薹臺,213 胎台,213 栽,213 柴塞,,213 財柴,,,,,,,,213 該,213 開,213 鞋,213 埋煤,213 捱,,,,213 挨,213 來,
零,零,æe,24 拜敗背,24 派配,24 袋帶,24 太泰,24 再,24 曬賽,,24 菜,,,,,,,,24 蓋,,24 害,24 賣妹,24 耐,,,,24 愛,24 賴,
零,零,æe,512 擺,512 排,512 逮,,512 載,512 灑,,512 彩,,,,,,,,512 改,512 凱,512 海,512 買,512 奶,,,,512 矮,,
零,零,ɑ,213 爬,213 葩,,213 他,213 喳,213 沙,,213 茶,,,,,,,,213 嘎,213 咖,213 哈,213 麻,213 拿,,,,213 鴉,213 拉,
零,零,ɑ,24 霸,24 怕,24 大,,24 炸,24 沙,,24 差,,,,,,,,24 軋,,24 下夏,24 罵,24 娜,,,,,,
零,零,ɑ,512 把,,512 打,,512 斬,512 灑,,,,,,,,,,,512 卡,512 哈,512 馬,,,,,512 啞,,
零,零,ɔ,213 包,213 疱,213 刀桃,213 濤,213 糟,213 騷,,213 抄,213 招,213 燒,213 饒,213 朝,,,,213 歌高,213 尻,213 蒿,213 毛貓,,,,,213 鵝熬,213 勞,
